Lemma,POS,Polarity_Score
zetland,n,0
zeta,n,0
zesty,a,0.06181
zestril,n,0
zestily,r,0
zestfulness,n,0.36466
zestfully,r,0
zestful,a,0.067
zest,n,0.40069
zest,v,0
zero-tolerance_policy,n,0.12208
zeroth_law_of_thermodynamics,n,0
zeroth,a,0
zero-sum_game,n,0.12208
zero-coupon_security,n,-0.19821
zero-coupon_bond,n,-0.28345
zero_tolerance,n,0.15793
zero_point,n,0
zero_in,v,0
zero_hour,n,0
zero_coupon_security,n,-0.19821
zero_coupon_bond,n,-0.28345
zero,a,-0.19765
zero,n,-0.043
zero,v,0
zeppo,n,0
zeppelin,n,0
zephyr,n,0
zephaniah,n,0
zep,n,0
zeomorphi,n,0.12208
zeolite,n,0
zeno_of_elea,n,0
zeno_of_citium,n,0
zeno,n,0
zenithal,a,0
zenith,n,0
zend-avesta,n,0
zend,n,0
zenaidura_macroura,n,-0.07997
zenaidura,n,0
zen_buddhist,n,0
zen_buddhism,n,0
zen,n,0
zellig_sabbatai_harris,n,0
zellig_harris,n,0
zeitgeist,n,0.12208
zeidae,n,0
zeeman,n,0
zee,n,0
zed,n,0
zechariah,n,0
zebu,n,0
zebrawood_tree,n,0
zebrawood_family,n,0
zebrawood,n,0
zebra-tailed_lizard,n,0
zebra_orchid,n,0
zebra_mussel,n,0
zebra_finch,n,0
zebra_crossing,n,0.15793
zebra,n,0
zebibyte,n,0
zebibit,n,0
zeaxanthin,n,0
zealously,r,0.15793
zealous,a,0.21734
zealotry,n,-0.34088
zealot,n,0
zealander,n,0
zealand,n,0
zeal,n,0.23439
zea_saccharata,n,0.12208
zea_mays_rugosa,n,0.12208
zea_mays_indurata,n,0
zea_mays_indentata,n,0
zea_mays_everta,n,0
zea_mays_amylacea,n,0
zea_mays,n,0
zea,n,0
zdv,n,0
zbit,n,0
zb,n,0
zayin,n,0
z-axis,n,0
zauschneria_californica,n,0
zarqa,n,0
zarpanit,n,0
zarontin,n,0
zaria,n,0
zarf,n,0
zarathustra,n,0
zaragoza,n,0
zapus_hudsonius,n,0
zapus,n,0.12208
zapper,n,0
zapotecan,n,0
zapotec,a,0
zapotec,n,0
zapodidae,n,0.17826
zapata,n,0
zap,n,0
zap,v,0
zanzibar_copal,n,0
zanzibar,n,0
zany,a,-0.3013
zany,n,0.09752
zanuck,n,0
zanthoxylum_fraxineum,n,0
zanthoxylum_flavum,n,0
zanthoxylum_clava-herculis,n,0
zanthoxylum_americanum,n,0
zanthoxylum,n,0
zantedeschia_rehmanii,n,0.12208
zantedeschia_aethiopica,n,0
zantedeschia,n,0
zantac,n,-0.28345
zannichelliaceae,n,0
zannichellia_palustris,n,0
zannichellia,n,0
zangwill,n,0
zane_grey,n,0
zamiaceae,n,0
zamia_pumila,n,0
zamia_family,n,0
zamia,n,0
zamboni,n,0
zambian_monetary_unit,n,0
zambian_kwacha,n,0
zambian,a,0
zambian,n,0
zambia,n,0
zambezi_river,n,0
zambezi,n,0
zamang,n,0
zaman,n,0
zama,n,0
zalophus_lobatus,n,0
zalophus_californicus,n,0
zalophus_californianus,n,0
zalophus,n,0
zalcitabine,n,-0.0611
zakat,n,0
zairese_monetary_unit,n,0
zairese,a,0
zairese,n,0
zairean,a,0
zairean,n,0
zaire_river,n,0
zaire,n,0
zaharias,n,0.15793
zagreb,n,0
zaglossus,n,0
zag,n,0
zaftig,a,0.12208
zachary_taylor,n,0
zacharias,n,0
zabrze,n,0
zabaglione,n,0
zaar,n,0
z,n,0
yves_tanguy,n,0
yurt,n,0
yuri_gagarin,n,0
yuri_alekseyevich_gagarin,n,0
yurak-samoyed,n,0
yuppie,n,0
yunnan_province,n,0
yunnan,n,0
yummy,a,0.61641
yuman,a,0
yuman,n,0
yuma,n,0
yuletide,n,0
yule_log,n,0
yule,n,0
yukon_white_birch,n,0
yukon_time,n,0
yukon_territory,n,0
yukon_river,n,0
yukon,n,0
yukawa,n,0
yugoslavian_monetary_unit,n,0
yugoslavian_dinar,n,0
yugoslavian,a,0
yugoslavian,n,0
yugoslavia,n,0
yugoslav,a,0
yugoslav,n,0
yue_dialect,n,0
yue,n,0
yucky,a,-0.3655
yucca_whipplei,n,0
yucca_smalliana,n,0
yucca_gloriosa,n,0
yucca_glauca,n,0
yucca_filamentosa,n,0
yucca_elata,n,0
yucca_carnerosana,n,0
yucca_brevifolia,n,0
yucca_baccata,n,0
yucca_aloifolia,n,0
yucca,n,0
yucateco,n,0
yucatec,n,0
yucatan_peninsula,n,0
yucatan,n,0
yuan_dynasty,n,0
yuan,n,0
yttrium,n,0
ytterbium,n,0
ytterbite,n,0
y-shaped,a,0
yr,n,0
yquem,n,0
ypres,n,0
yo-yo,n,0
yowl,n,0
yowl,v,0
youth-on-age,n,0
youthfulness,n,0.15793
youthfully,r,0.12208
youthful,a,0.52814
youth_subculture,n,0.12208
youth_movement,n,0
youth_hostel,n,0.12208
youth_gang,n,0
youth_culture,n,0
youth_crusade,n,0
youth,n,0.35973
younker,n,0
youngstown,n,0
youngster,n,0
young's_modulus,n,0
youngness,n,0
youngish,a,0
younger,a,-0.28345
young-begetting,a,0.21734
young-bearing,a,0.21734
young_woman,n,0
young_turk,n,0
young_person,n,0
young_man,n,0
young_mammal,n,0
young_lady,n,0
young_girl,n,0
young_fish,n,0
young_carnivore,n,0
young_buck,n,0
young_bird,n,0
young,a,0.32279
young,n,0.3705
you-drive,n,0
you_said_it,r,0
you_bet,r,0
yottabyte,n,0
yottabit,n,0
yosemite_toad,n,0.15793
yosemite_national_park,n,0
yosemite_falls,n,0
yosemite,n,0
yoruba,n,0
yorktown,n,0
yorkshire_terrier,n,0
yorkshire_pudding,n,0
yorkshire_fog,n,0
yorkshire,n,0
york,n,0
yore,n,0
yonder,a,0.12208
yonder,r,0
yon,a,0.12208
yon,r,0
yom_kippur_war,n,0
yom_kippur,n,0
yolk_sac,n,0
yolk,n,0
yokuts,n,0
yokohama,n,0
yoko_ono,n,0
yokel-like,a,0.12208
yokelish,a,-0.05621
yokel,n,-0.39474
yoke,n,0
yoke,v,0
yogurt,n,0
yogistic,a,0
yogic,a,0
yogi_berra,n,0
yogi,n,0.1067
yoghurt,n,0
yoghourt,n,0
yogacara,n,0
yoga,n,0
yodh,n,0
yodeller,n,0
yodeling,n,0
yodel,n,0
yodel,v,0
yobo,n,-0.39584
yobibyte,n,0
yobibit,n,0
yobbo,n,-0.39584
yob,n,-0.39584
ymir,n,0
y-linked_gene,n,0
ylem,n,0
ylang-ylang,n,0
yisrael,n,0
yips,n,0
yip,n,-0.07997
yip,v,0
yin,n,-0.07997
yieldingly,r,0.17826
yielding,a,0.1758
yielding,n,0
yielder,n,0
yield_up,v,0
yield,n,0
yield,v,0.07506
yiddish,n,0
yid,n,-0.34088
yibit,n,0
yib,n,0
yi,n,0
yhwh,n,0
yhvh,n,0
yggdrasil,n,0
ygdrasil,n,0
yezo,n,0
yew_family,n,0
yew,n,0
yevtushenko,n,0
yevgeni_yevtushenko,n,0
yevgeni_aleksandrovich_yevtushenko,n,0
yeti,n,0
yet,r,0.00598
yesteryear,n,0
yesterday,n,0
yesterday,r,0
yes-no_question,n,0
yes-man,n,-0.07997
yeshivah,n,0
yeshiva,n,0
yes,n,0.15793
yerwa-maiduguri,n,0
yerupaja,n,0.15793
yersinia_pestis,n,-0.34088
yersin,n,0
yerkes,n,0
yerevan,n,0
yerba_santa,n,0
yerba_mansa,n,0
yerba_buena,n,0
yeomanry,n,0
yeoman_of_the_guard,n,0
yeoman,n,0.1067
yenta,n,-0.45351
yenisey_river,n,0
yenisey,n,0
yenisei-samoyed,n,0
yeniseian,n,0
yenisei_river,n,0
yenisei,n,0
yen,n,0
yen,v,0.00147
yemeni_rial,n,0
yemeni_monetary_unit,n,0
yemeni_fils,n,0.15793
yemeni,a,0
yemeni,n,0
yemen,n,0
yelping,n,-0.07997
yelp,n,-0.07997
yelp,v,0
yellowwood_tree,n,0
yellowwood,n,0
yellow-white,a,0
yellow-tipped,a,-0.38925
yellow-tinged,a,0
yellow-throated_marten,n,0
yellowthroat,n,0
yellowtail_snapper,n,0
yellowtail_flounder,n,0
yellowtail,n,0
yellow-striped,a,0.12208
yellowstone_river,n,0
yellowstone_national_park,n,0
yellowstone,n,0
yellow-spotted,a,-0.07997
yellow-shafted_flicker,n,0
yellow-orange,a,0
yellowness,n,-0.19821
yellow-marked,a,-0.07997
yellowlegs,n,0
yellow-leaf_sickle_pine,n,0
yellowknife,n,0
yellowish-white,a,0
yellowish-orange,a,0
yellowish-grey,a,0
yellowish-gray,a,0
yellowish-beige,a,0
yellowish_pink,n,0
yellowish_green,n,0
yellowish_brown,n,0
yellowish,a,0
yellowhammer,n,0
yellow-grey,a,0
yellow-green_algae,n,0
yellow-green,a,0
yellow-gray,a,0
yellowfin_tuna,n,0
yellowfin_mojarra,n,0
yellowfin_croaker,n,0
yellowfin,n,0
yellow-fever_mosquito,n,0
yellow-eyed_grass_family,n,0
yellow-eyed_grass,n,0
yellowed,a,0
yellow-dog_contract,n,-0.28345
yellow-crowned_night_heron,n,0
yellowcake,n,0
yellow-brown,a,0
yellow-breasted_chat,n,0
yellow-breasted_bunting,n,0
yellow-blue_dichromacy,n,0
yellow-blue_color_blindness,n,0
yellow-blindness,n,0.12208
yellowbird,n,0
yellowbelly_marmot,n,0
yellow-bellied_terrapin,n,0
yellow-bellied_sapsucker,n,0
yellow-bellied,a,-0.34088
yellow-beige,a,0
yellow-banded,a,-0.07997
yellow_woman,n,-0.19821
yellow_watercress,n,-0.07997
yellow_water_lily,n,0
yellow_water_flag,n,0
yellow_warbler,n,0
yellow_vetchling,n,0
yellow_twining_snapdragon,n,0
yellow_turnip,n,0
yellow_trumpet,n,0
yellow_trefoil,n,0
yellow_sweet_clover,n,0
yellow_star-thistle,n,0
yellow_squash,n,0
yellow_spruce,n,0
yellow_spot_fungus,n,-0.28345
yellow_spot,n,-0.05768
yellow_spiny_daisy,n,0
yellow_sea,n,0
yellow_sand_verbena,n,0
yellow_salsify,n,0
yellow_root,n,0
yellow_rocket,n,0
yellow_river,n,0
yellow_race,n,0
yellow_prussiate_of_potash,n,0.15793
yellow_poplar,n,0
yellow_pond_lily,n,0
yellow_pitcher_plant,n,0
yellow_pine,n,-0.02298
yellow_pimpernel,n,0
yellow_peril,n,0
yellow_perch,n,0
yellow_pea,n,0
yellow_parilla,n,0
yellow_paper_daisy,n,0
yellow_pages,n,0
yellow_oleander,n,0
yellow_ochre,n,0
yellow_ocher,n,0
yellow_oak,n,0
yellow_nutgrass,n,0
yellow_mountain_saxifrage,n,0
yellow_mombin_tree,n,0
yellow_mombin,n,0
yellow_milkwort,n,0
yellow_metal,n,0
yellow_marrow,n,0
yellow_mariposa_tulip,n,0
yellow_man,n,-0.19821
yellow_lupine,n,0
yellow_loosestrife,n,0
yellow_locust,n,0
yellow_light,n,0
yellow_lady-slipper,n,0
yellow_lady's_slipper,n,0
yellow_journalism,n,0
yellow_jessamine,n,0
yellow_jasmine,n,0
yellow_jacket,n,-0.06819
yellow_jack,n,-0.00006
yellow_jacaranda,n,0
yellow_ironweed,n,0
yellow_iris,n,0
yellow_hornet,n,-0.19821
yellow_horned_poppy,n,0
yellow_honeysuckle,n,0
yellow_henbane,n,0
yellow_hawkweed,n,0
yellow_gurnard,n,0.17826
yellow_green,n,0
yellow_granadilla,n,0
yellow_goatfish,n,0
yellow_globe_lily,n,0
yellow_giant_hyssop,n,0
yellow_foxtail,n,0
yellow_foxglove,n,0
yellow_flag,n,0
yellow_fever,n,-0.07997
yellow_dwarf_of_potato,n,-0.07997
yellow_dwarf,n,-0.25931
yellow_dock,n,0
yellow_delicious,n,-0.07997
yellow_cypress,n,0
yellow_colicroot,n,0
yellow_clintonia,n,0
yellow_cleavers,n,0
yellow_chestnut_oak,n,0
yellow_chamomile,n,0
yellow_cedar,n,0
yellow_cattley_guava,n,0
yellow_bunting,n,0
yellow_bugle,n,0
yellow_bristlegrass,n,0
yellow_bristle_grass,n,0
yellow_bone_marrow,n,0
yellow_birch,n,0
yellow_bile,n,-0.34088
yellow_berry,n,-0.07997
yellow_bells,n,0
yellow_bedstraw,n,0
yellow_bean,n,0
yellow_bass,n,0
yellow_bachelor's_button,n,0
yellow_avens,n,0
yellow_asphodel,n,0
yellow_ageratum,n,0
yellow_adder's_tongue,n,-0.19821
yellow,a,0.22815
yellow,n,0.26233
yellow,v,0
yelling,n,-0.34088
yeller,n,0
yelled,a,0.08478
yell,n,-0.32854
yell,v,0
yekaterinoslav,n,0
yehudi_menuhin,n,0
yedo,n,0
yeddo,n,0
yeatsian,a,0.28394
yeats,n,0
yeasty,a,0.14454
yeastlike,a,-0.07997
yeast_cake,n,0
yeast,n,0
years,n,0
year-round,a,0
yearningly,r,0.15793
yearning,n,-0.08901
yearner,n,0
yearned-for,a,0.28394
yearn,v,0.26485
yearly,a,0
yearly,n,0
yearly,r,0.08103
yearlong,a,0
yearling,n,0
year-end,a,0
year-end,n,0
yearbook,n,0
year-around,a,0
year_of_grace,n,0
year_dot,n,0.12208
year,n,0
yeah,r,0
yea,n,0.15793
yea,r,0
ybit,n,0
yb,n,0
yazoo_river,n,0
yazoo,n,0
yay,n,0
y-axis,n,0
yaws,n,-0.17327
yawp,v,-0.02298
yawning,a,0.00229
yawning,n,0
yawner,n,0
yawn,n,0
yawn,v,0.20584
yawl,n,0
yawl,v,0
yaw,n,0
yaw,v,0.08459
yavapai,n,0
yautia,n,0
yaupon_holly,n,0
yaup,v,0
yatobyo,n,0.17826
yataghan,n,0
yastrzemski,n,0
yasser_arafat,n,0
yashmak,n,0
yashmac,n,0
yarrow,n,0
yarn-spinning,a,0.12208
yarn-dye,v,0
yarn,n,0
yarn,v,0
yarmulke,n,0
yarmulka,n,0
yarmelke,n,0
yardstick,n,-0.0296
yardmaster,n,0
yardman,n,0
yard-long_bean,n,0
yardie,n,0
yardgrass,n,0
yarder,n,0
yardbird_parker,n,0
yardbird,n,0.10554
yardarm,n,0
yardage,n,0
yard_sale,n,0
yard_measure,n,0
yard_marker,n,0
yard_line,n,0
yard_grass,n,0
yard_goods,n,0
yard_donkey,n,0
yard_bird,n,0.10554
yard,n,0
yap_away,v,0
yap,n,-0.27646
yap,v,0
yaounde,n,0
yanquapin,n,0
yanker,n,0
yankee-doodle,n,0
yankee_corn,n,0
yankee,a,0
yankee,n,0
yank,n,0
yank,v,0
yangtze_river,n,0
yangtze_kiang,n,0
yangtze,n,0
yangon,n,0
yang_chen_ning,n,0
yang,n,0.12208
yanan,n,0
yana,n,0
yamoussukro,n,0
yammer,v,-0.02298
yamani,n,0
yamamoto,n,0
yamaltu,n,0
yama,n,-0.28345
yam_plant,n,0
yam_family,n,0
yam_bean,n,0
yam,n,0
yalu_river,n,0
yalu,n,0
yaltopya,n,0
yalta_conference,n,0
yalta,n,0
yale_university,n,0
yale,n,0
yakuza,n,0
yakut,n,0
yak's_milk,n,0
yakima,n,0
yakety-yak,n,0
yak_butter,n,0
yak,n,0
yak,v,-0.1918
yajur-veda,n,0
yahweh,n,0
yahwe,n,0
yahveh,n,0
yahve,n,0
yahoo,n,-0.02094
yahi,n,0
yagi_aerial,n,0.15793
yagi,n,0.15793
yafo,n,0
yack_away,v,0
yack,n,0
yack,v,0
yachtswoman,n,0
yachtsman,n,0
yachting_cap,n,0
yachting,n,0
yacht_race,n,0
yacht_club,n,0
yacht_chair,n,0
yacht,n,0
yacht,v,0
yacca_podocarp,n,0
yacca,n,0
y2k_compliant,a,0
y2k,n,0
y_chromosome,n,0
y,n,0
xyy,n,0
xyris_operculata,n,0
xyris,n,0
xyridales,n,0
xyridaceae,n,0
xyphophorus_helleri,n,0
xyphophorus,n,0
xylosma_congestum,n,0
xylosma,n,0
xylose,n,0
xylopia_aethiopica,n,0
xylopia,n,0
xylophonist,n,0
xylophone,n,0
xylomelum_pyriforme,n,0
xylomelum,n,0
xylol,n,0
xylocopa,n,0
xylocaine,n,0
xylene,n,0
xylem,n,0
xylariaceae,n,0.12208
xylaria_polymorpha,n,0
xylaria_mali,n,-0.34088
xylaria,n,0
xy,n,0
xxy-syndrome,n,-0.07997
xxy,n,-0.07997
xxxviii,a,0
xxxvii,a,0
xxxvi,a,0
xxxv,a,0
xxxiv,a,0
xxxiii,a,0
xxxii,a,0
xxxi,a,0
xxx,a,0
xxx,n,0
xxviii,a,0
xxviii,n,0
xxvii,a,0
xxvii,n,0
xxvi,a,0
xxvi,n,0
xxv,a,0
xxv,n,0
xxix,a,0
xxix,n,0
xxiv,a,0
xxiv,n,0
xxiii,a,0
xxiii,n,0
xxii,a,0
xxii,n,0
xxi,a,0
xxi,n,0
xx,a,0
xx,n,0
xviii,a,0
xviii,n,0
xvii,a,0
xvii,n,0
xvi,a,0
xvi,n,0
xv,a,0
xv,n,0
xtc,n,0
xt,n,0
x-scid,n,0
x-raying,n,0
x-ray_tube,n,0
x-ray_therapy,n,0
x-ray_picture,n,0
x-ray_photography,n,0
x-ray_photograph,n,0
x-ray_machine,n,0
x-ray_film,n,0
x-ray_diffraction,n,0
x-ray,n,0
x-ray,v,0
x-radiation,n,0
xor_gate,n,0
x-or_circuit,n,0
xor_circuit,n,0
xmas,n,0
xlviii,a,0
xlvii,a,0
xlvi,a,0
xlv,a,0
xliv,a,0
x-linked_scid,n,0
x-linked_recessive_inheritance,n,0
x-linked_gene,n,0
x-linked_dominant_inheritance,n,0
x-linked,a,0
xliii,a,0
xlii,a,0
xli,a,0
xl,a,0
xl,n,0
xizang,n,0
xix,a,0
xix,n,0
xiv,a,0
xiv,n,0
xishuangbanna_dai,n,0
xiphosurus_polyphemus,n,0
xiphosura,n,0
xiphoid_process,n,0
xiphium_iris,n,0
xiphiidae,n,0
xiphias_gladius,n,0
xiphias,n,-0.07997
xinjiang_uighur_autonomous_region,n,0
xinjiang,n,0
ximenesia_encelioides,n,0
xiii,a,0
xiii,n,0
xii,a,0
xii,n,0
xian,n,0
xi,a,0
xi,n,0
xhosa,n,0
xestobium_rufovillosum,n,0
xerxes_the_great,n,0
xerxes_i,n,0
xerox_machine,n,0
xerox_copy,n,0
xerox,n,0
xerox,v,0
xerotes,n,-0.34088
xerostomia,n,-0.19821
xeroradiography,n,0
xerophytic_plant,n,0
xerophytic,a,0
xerophyte,n,0
xerophyllum_tenax,n,0
xerophyllum,n,0
xerophthalmus,n,-0.07997
xerophthalmia,n,-0.07997
xerophilous_plant,n,0
xerophile,n,0
xeroma,n,-0.07997
xerography,n,0
xerographic_printer,n,0
xerographic_copier,n,0
xerographic,a,0
xerodermia,n,-0.33433
xeroderma_pigmentosum,n,-0.34088
xeroderma,n,-0.33433
xerobates,n,0
xeric,a,-0.34088
xeranthemum_annuum,n,0
xeranthemum,n,0
xenotransplantation,n,0
xenotransplant,n,0
xenotime,n,0
xenosaurus,n,0
xenosauridae,n,0
xenorhyncus_asiaticus,n,0
xenorhyncus,n,0
xenopus_laevis,n,0
xenopus,n,0
xenopodidae,n,0
xenophon,n,0
xenophobic,a,-0.42036
xenophobia,n,-0.0611
xenophanes,n,0
xenon,n,-0.07997
xenolith,n,0
xenograft,n,0
xenogenesis,n,0
xenogeneic,a,0
xenicus_gilviventris,n,0.12208
xenicus,n,0
xenicidae,n,0
xenarthra,n,0
xe,n,-0.07997
xcviii,a,0
xcvii,a,0
xcvi,a,0
xcv,a,0
xcl,a,0
xciv,a,0
xciii,a,0
xcii,a,0
xci,a,0
xc,a,0
xc,n,0
x-axis,n,0
xavier,n,0
xantusiidae,n,0
xanthous,a,0
xanthosoma_sagittifolium,n,0
xanthosoma_atrovirens,n,0
xanthosoma,n,0
xanthosis,n,-0.28345
xanthorroea,n,-0.07997
xanthorrhoeaceae,n,-0.38925
xanthopsia,n,0
xanthophyll,n,0
xanthophyl,n,0
xanthophyceae,n,0
xanthomonas,n,-0.19821
xanthomonad,n,0
xanthomatosis,n,-0.34088
xanthoma_multiplex,n,-0.34088
xanthoma_disseminatum,n,0
xanthoma,n,-0.19821
xanthium,n,0
xanthine,n,0
xanthic_acid,n,0
xanthemia,n,0
xanthelasma,n,0
xanthate,n,0
xanax,n,0
x_ray,n,0
x_chromosome,n,0
x,a,0
x,n,0
wyvern,n,0
wytensin,n,0
wyszynski,n,0
wystan_hugh_auden,n,0
wysiwyg,a,0
wyrd,n,0
wyomingite,n,0
wyoming,n,0
wynnea_sparassoides,n,0
wynnea_americana,n,0
wynnea,n,0
wynfrith,n,0
wynette,n,0
wylie,n,0.17826
wyler,n,0
wykehamist,n,0
wykeham,n,0
wyethia_helianthoides,n,0
wyethia_amplexicaulis,n,0
wyeth,n,0
wye,n,0
wycliffe,n,0
wyclif,n,0
wycherley,n,0
wych_hazel_plant,n,0
wych_hazel,n,0
wych_elm,n,0
wyatt,n,0
wyat,n,0
wy,n,0
www,n,0
wv,n,0
wuss,n,-0.07997
wurzburg,n,0
wurtzite,n,0
wurlitzer,n,0
wulfila,n,0
wulfenite,n,0
wuhan,n,0
wuerzburg,n,0
wu_dialect,n,0
wu,n,0
wtv,n,0
wto,n,0
wtc,n,0
wsw,n,0
w-shaped,a,0
wryneck,n,0
wrymouth,n,0
wryly,r,0.15793
wry_face,n,-0.07997
wry,a,-0.07844
wrought_iron,n,-0.34088
wrought,a,0
wrothful,a,-0.19821
wroth,a,-0.19821
wrong-site_surgery,n,0
wrong-side-out,a,0
wrongness,n,-0.38828
wrongly,r,-0.10116
wrongheadedly,r,0.15793
wrongheaded,a,-0.35258
wrongfulness,n,-0.42036
wrongfully,r,0.15793
wrongful_death,n,0
wrongful_conduct,n,0
wrongful,a,-0.4687
wrongdoing,n,-0.36408
wrongdoer,n,0
wrong_'un,n,0
wrong,a,-0.4196
wrong,n,-0.4468
wrong,r,-0.44427
wrong,v,-0.44312
wroclaw,n,0
written_word,n,0
written_text,n,0
written_symbol,n,0
written_report,n,0
written_record,n,0
written_matter,n,0
written_material,n,0
written_language,n,0
written_document,n,0
written_communication,n,0
written_assignment,n,0
written_agreement,n,0
written_account,n,0
written,a,0
writings,n,0
writing_table,n,0
writing_system,n,0
writing_style,n,-0.07997
writing_paper,n,0
writing_pad,n,0
writing_ink,n,0
writing_implement,n,0
writing_desk,n,0
writing_board,n,0
